 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
88,2687,9,6,3074,3010,1537,0,341.5555556,677.7532942,1505,0,501.6666667,777.1786581,2264235.207,5582.433941,191.9285714,423.9485572,1505,3,2687,335.875,542.269421,1505,3,1091,218.2,322.4921704,730,4,0,0,0,0,204,144,3349.460365,2232.973576,0,1537,380.25,680.2620573,462756.4667,0,0,0,1,0,0,0,0,0,405.6,341.5555556,501.6666667,204,0,0,0,0,0,0,9,3074,6,3010,8192,2053,2,20,0,0,0,0,0,0,0,0,BENIGN
135,14263712,21,12,1664,1784,168,0,79.23809524,85.18797143,268,0,148.6666667,84.88423489,241.7323064,2.313563258,445741,1978382.148,11100000,1,14300000,713185.6,2487010.106,11100000,1,3124260,284023.6364,663060.7968,2017717,4,0,0,0,0,444,264,1.472267528,0.84129573,0,268,101.4117647,90.75512095,8236.491979,0,0,0,1,0,0,0,0,0,104.4848485,79.23809524,148.6666667,444,0,0,0,0,0,0,21,1664,12,1784,8192,2050,10,20,0,0,0,0,0,0,0,0,BENIGN
49671,14257993,11,6,2378,2160,968,0,216.1818182,381.7917805,952,0,360,462.1203306,318.2776145,1.192313673,891124.5625,3549720.687,14200000,2,14300000,1425799.3,4489301.086,14200000,2,975,195,299.4052438,721,3,0,0,0,0,244,144,0.771497082,0.42081659,0,968,252.1111111,396.5309704,157236.8105,0,0,0,1,0,0,0,0,0,266.9411765,216.1818182,360,244,0,0,0,0,0,0,11,2378,6,2160,8192,2049,4,20,0,0,0,0,0,0,0,0,BENIGN
135,68,1,3,0,0,0,0,0,0,0,0,0,0,0,58823.52941,22.66666667,34.96188401,63,1,0,0,0,0,0,5,2.5,2.121320344,4,1,0,0,0,0,20,60,14705.88235,44117.64706,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,20,0,0,0,0,0,0,1,0,3,0,253,2050,0,20,0,0,0,0,0,0,0,0,BENIGN
49671,58,1,3,0,0,0,0,0,0,0,0,0,0,0,68965.51724,19.33333333,30.08875759,54,0,0,0,0,0,0,4,2,2.828427125,4,0,0,0,0,0,20,60,17241.37931,51724.13793,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,20,0,0,0,0,0,0,1,0,3,0,252,2049,0,20,0,0,0,0,0,0,0,0,BENIGN
80,26641766,4,4,227,301,227,0,56.75,113.5,301,0,75.25,150.5,19.81850603,0.300280394,3805966.571,10000000,26600000,30,75494,25164.66667,21765.99872,38095,35,26600000,8868151.333,15300000,26600000,736,0,0,0,0,92,92,0.150140197,0.150140197,0,301,58.66666667,117.8738733,13894.25,0,0,0,1,0,0,0,0,1,66,56.75,75.25,92,0,0,0,0,0,0,4,227,4,301,65535,946,1,20,0,0,0,0,0,0,0,0,BENIGN
49666,34256029,39,34,12094,6500,1755,0,310.1025641,490.9717965,348,0,191.1764706,128.0128948,542.7949632,2.131011741,475778.1806,3665524.167,31100000,1,34300000,901474.4474,5038710.097,31100000,1,3123992,94666.42424,392212.6272,1981403,1,0,0,0,0,804,704,1.138485725,0.992526016,0,1755,251.2702703,370.5182338,137283.7616,0,0,0,1,0,0,0,0,0,254.7123288,310.1025641,191.1764706,804,0,0,0,0,0,0,39,12094,34,6500,8192,2053,28,20,0,0,0,0,0,0,0,0,BENIGN
49666,62,1,3,0,0,0,0,0,0,0,0,0,0,0,64516.12903,20.66666667,34.06366588,60,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,20,60,16129.03226,48387.09677,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,20,0,0,0,0,0,0,1,0,3,0,256,2053,0,20,0,0,0,0,0,0,0,0,BENIGN
443,310531,15,13,938,4633,376,0,62.53333333,106.5496978,1430,0,356.3846154,515.0487903,17940.23785,90.16813136,11501.14815,20369.31564,68414,3,310531,22180.78571,26718.8112,68529,4,272770,22730.83333,48027.45376,166490,3,0,0,0,0,312,272,48.30435609,41.86377528,0,1430,192.1034483,377.1046032,142207.8818,0,0,0,1,0,0,0,0,0,198.9642857,62.53333333,356.3846154,312,0,0,0,0,0,0,15,938,13,4633,8192,360,7,20,0,0,0,0,0,0,0,0,BENIGN
49212,4,2,0,0,0,0,0,0,0,0,0,0,0,0,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,360,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,123156,9,8,496,4528,192,0,55.11111111,80.26432029,1430,0,566,679.1749196,40793.78999,138.0363117,7697.25,14502.12423,36995,47,123156,15394.5,18101.19773,37775,48,86168,12309.71429,20878.23132,47791,48,0,0,0,0,192,172,73.07804735,64.95826432,0,1430,279.1111111,512.687141,262848.1046,0,0,0,1,0,0,0,0,0,295.5294118,55.11111111,566,192,0,0,0,0,0,0,9,496,8,4528,8192,343,4,20,0,0,0,0,0,0,0,0,BENIGN
49220,36020,2,1,38,0,38,0,19,26.87005769,0,0,0,0,1054.969461,83.28706274,18010,25331.39333,35922,98,36020,36020,0,36020,36020,0,0,0,0,0,1,0,0,0,40,20,55.5247085,27.76235425,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,40,0,0,0,0,0,0,2,38,1,0,351,0,0,20,0,0,0,0,0,0,0,0,BENIGN
443,689974,12,10,563,3995,192,0,46.91666667,67.54723375,1430,0,399.5,584.6524609,6606.046025,31.88525944,32855.90476,94373.97249,438268,1,689974,62724.90909,127556.6553,438268,48,201311,22367.88889,27836.33369,72801,1,0,0,0,0,252,212,17.3919597,14.49329975,0,1430,198.173913,418.0960799,174804.332,0,0,0,1,0,0,0,0,0,207.1818182,46.91666667,399.5,252,0,0,0,0,0,0,12,563,10,3995,8192,351,6,20,0,0,0,0,0,0,0,0,BENIGN
443,1581930,14,13,1044,5121,438,0,74.57142857,121.3917462,1430,0,393.9230769,579.8994829,3897.138306,17.067759,60843.46154,258333.5705,1324171,2,1581930,121686.9231,384917.9783,1401302,4,219825,18318.75,25900.25979,77559,2,0,0,0,0,292,272,8.849949113,8.21780989,0,1430,220.1785714,428.8097267,183877.7817,0,0,0,1,0,0,0,0,0,228.3333333,74.57142857,393.9230769,292,0,0,0,0,0,0,14,1044,13,5121,8192,360,8,20,0,0,0,0,0,0,0,0,BENIGN
443,2346262,12,10,563,4564,192,0,46.91666667,67.54723375,1430,0,456.4,641.627133,2185.177955,9.376616934,111726.7619,447364.0539,2062365,1,2346262,213296.5455,614043.4294,2062365,4,225202,25022.44444,34520.27296,99464,1,0,0,0,0,252,212,5.114518327,4.262098606,0,1430,222.9130435,463.2840198,214632.083,0,0,0,1,0,0,0,0,0,233.0454545,46.91666667,456.4,252,0,0,0,0,0,0,12,563,10,4564,8192,351,6,20,0,0,0,0,0,0,0,0,BENIGN
443,2830799,72,119,2238,150460,613,0,31.08333333,107.8403554,2860,0,1264.369748,466.6719507,53941.66099,67.47211653,14898.94211,97518.63227,1085339,1,2830799,39870.40845,166774.0006,1161888,4,2470249,20934.31356,123502.9378,1121875,1,0,0,0,0,1452,2392,25.43451513,42.0376014,0,2860,795.3020833,706.6981571,499422.2852,0,0,0,1,0,0,0,0,1,799.4659686,31.08333333,1264.369748,1452,0,0,0,0,0,0,72,2238,119,150460,8192,368,12,20,0,0,0,0,0,0,0,0,BENIGN
80,2989643,7,4,866,1492,433,0,123.7142857,211.2823658,746,0,373,430.7033008,788.7229345,3.679369075,298964.3,658683.6578,2095890,69,2989643,498273.8333,815309.6326,2095890,98,789933,263311,406350.334,732426,20451,0,0,0,0,152,92,2.341416684,1.337952391,0,746,196.5,305.2067853,93151.18182,0,0,0,1,0,0,0,0,0,214.3636364,123.7142857,373,152,0,0,0,0,0,0,7,866,4,1492,8192,351,2,20,0,0,0,0,0,0,0,0,BENIGN
80,3182843,9,5,1299,2238,433,0,144.3333333,216.5,746,0,447.6,408.6010279,1111.270647,4.398583279,244834.0769,530235.2941,1956947,121,3182843,397855.375,644462.3127,1956947,36667,2611136,652784,957688.0896,2077333,19931,0,0,0,0,192,112,2.827660679,1.5709226,0,746,235.8,316.0007233,99856.45714,0,0,0,1,0,0,0,0,0,252.6428571,144.3333333,447.6,192,0,0,0,0,0,0,9,1299,5,2238,8192,360,3,20,0,0,0,0,0,0,0,0,BENIGN
443,3266983,13,10,562,3971,191,0,43.23076923,65.78013105,1430,0,397.1,583.4183652,1387.518698,7.040134583,148499.2273,603031.2218,2843458,1,3266983,272248.5833,811105.3015,2843458,4,374941,41660.11111,80794.73934,250519,1,0,0,0,0,272,212,3.979206503,3.06092808,0,1430,188.875,409.6831557,167840.288,0,0,0,1,0,0,0,0,0,197.0869565,43.23076923,397.1,272,0,0,0,0,0,0,13,562,10,3971,8192,351,6,20,0,0,0,0,0,0,0,0,BENIGN
80,4770553,6,4,870,1592,435,0,145,224.6330341,796,0,398,459.5708143,516.0827267,2.096193041,530061.4444,1542432.779,4643029,73,4770553,954110.6,2062315.48,4643029,91,59834,19944.66667,16712.73602,34382,1636,0,0,0,0,132,92,1.257715825,0.838477216,0,796,223.8181818,330.8536892,109464.1636,0,0,0,1,0,0,0,0,0,246.2,145,398,132,0,0,0,0,0,0,6,870,4,1592,8192,290,2,20,0,0,0,0,0,0,0,0,BENIGN
443,4953235,14,12,2356,10073,679,0,168.2857143,276.3841887,1460,0,839.4166667,645.0021083,2509.269195,5.249094784,198129.4,726367.0293,3653585,3,4953235,381018.0769,996862.0629,3653585,3,1172197,106563.3636,148538.7807,467616,40,0,0,0,0,292,252,2.826435653,2.422659131,0,1460,460.3333333,578.4526442,334607.4615,0,0,0,1,0,0,0,0,0,478.0384615,168.2857143,839.4166667,292,0,0,0,0,0,0,14,2356,12,10073,8192,125,6,20,0,0,0,0,0,0,0,0,BENIGN
80,10637980,6,4,293,384,292,0,48.83333333,119.1275227,384,0,96,192,63.63990156,0.940028088,1181997.778,3306519.342,9989850,85,10600000,2127596,4400440.449,9989850,179,10100000,3367968.667,5789001.847,10100000,542,0,0,0,0,132,104,0.564016853,0.376011235,0,384,61.54545455,138.2225478,19105.47273,0,0,0,1,0,0,0,0,0,67.7,48.83333333,96,132,0,0,0,0,0,0,6,293,4,384,8192,946,2,20,114131,0,114131,114131,9989850,0,9989850,9989850,BENIGN
443,4589384,8,6,369,3710,212,0,46.125,79.96505933,1460,0,618.3333333,680.9950563,888.7903039,3.050518327,353029.5385,1232875.329,4455903,4,4589384,655626.2857,1675997.849,4455903,4,53190,10638,13241.97017,27417,48,0,0,0,0,172,132,1.74315333,1.307364997,0,1460,271.9333333,504.6464769,254668.0667,0,0,0,1,0,0,0,0,0,291.3571429,46.125,618.3333333,172,0,0,0,0,0,0,8,369,6,3710,8192,119,3,20,0,0,0,0,0,0,0,0,BENIGN
49219,915,3,0,0,0,0,0,0,0,0,0,0,0,0,3278.688525,457.5,642.7600641,912,3,915,457.5,642.7600641,912,3,0,0,0,0,0,0,0,0,0,60,0,3278.688525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,360,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
49214,9749,5,0,0,0,0,0,0,0,0,0,0,0,0,512.8731152,2437.25,4177.206912,8656,3,9749,2437.25,4177.206912,8656,3,0,0,0,0,0,0,0,0,0,100,0,512.8731152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,5,0,0,0,378,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
49217,1484,3,0,0,0,0,0,0,0,0,0,0,0,0,2021.563342,742,1045.103823,1481,3,1484,742,1045.103823,1481,3,0,0,0,0,0,0,0,0,0,60,0,2021.563342,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,351,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
49222,640,3,0,0,0,0,0,0,0,0,0,0,0,0,4687.5,320,448.3056993,637,3,640,320,448.3056993,637,3,0,0,0,0,0,0,0,0,0,60,0,4687.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,351,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
49210,2451,3,0,0,0,0,0,0,0,0,0,0,0,0,1223.990208,1225.5,1728.87608,2448,3,2451,1225.5,1728.87608,2448,3,0,0,0,0,0,0,0,0,0,60,0,1223.990208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,351,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
49207,347,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0,0,89337.17579,8645.533141,173.5,241.1234124,344,3,347,173.5,241.1234124,344,3,0,0,0,0,0,0,0,0,0,60,0,8645.533141,0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0,60,0,0,0,0,0,0,3,31,0,0,125,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49219,237019,2,0,0,0,0,0,0,0,0,0,0,0,0,8.43814209,237019,0,237019,237019,237019,237019,0,237019,237019,0,0,0,0,0,0,0,0,0,40,0,8.43814209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,360,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
445,90030854,10,10,8,2,1,0,0.8,0.421637021,1,0,0.2,0.421637021,0.111073033,0.222146066,4738466,11200000,30000000,3,90000000,10000000,15000000,30000000,3,90000000,10000000,15000000,30000000,3,0,0,0,0,224,296,0.111073033,0.111073033,0,1,0.523809524,0.511766316,0.261904762,0,0,0,0,1,0,0,0,1,0.55,0.8,0.2,224,0,0,0,0,0,0,10,8,10,2,254,2049,7,20,22761.33333,39318.13089,68162,57,30000000,35592.50011,30000000,29900000,BENIGN
80,46033236,4,4,233,2398,233,0,58.25,116.5,2398,0,599.5,1199,57.15435691,0.173787478,6576176.571,17400000,46000000,36,33550,11183.33333,9751.867582,18136,36,46000000,15300000,26600000,46000000,2998,0,0,0,0,92,92,0.086893739,0.086893739,0,2398,292.3333333,793.3760143,629445.5,0,0,0,1,0,0,0,0,1,328.875,58.25,599.5,92,0,0,0,0,0,0,4,233,4,2398,8192,30,1,20,0,0,0,0,0,0,0,0,BENIGN
80,4,2,0,0,0,0,0,0,0,0,0,0,0,0,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,60494983,11,9,3276,4556,821,0,297.8181818,350.899364,1460,0,506.2222222,603.9734634,129.4652814,0.330605928,3183946.474,13700000,60000000,8,60500000,6049498.3,18900000,60000000,334,434621,54327.625,40894.57387,125536,48,0,0,0,0,232,192,0.18183326,0.148772668,0,1460,372.952381,474.9006713,225530.6476,0,0,0,1,0,0,0,0,0,391.6,297.8181818,506.2222222,232,0,0,0,0,0,0,11,3276,9,4556,8192,513,6,20,0,0,0,0,0,0,0,0,BENIGN
80,82523355,2,0,0,0,0,0,0,0,0,0,0,0,0,0.024235563,82500000,0,82500000,82500000,82500000,82500000,0,82500000,82500000,0,0,0,0,0,0,0,0,0,40,0,0.024235563,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,1022,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,109373101,5,3,138,328,138,0,27.6,61.71547618,328,0,109.3333333,189.3708883,4.260645403,0.073144127,15600000,41300000,109000000,32,109000000,27300000,54600000,109000000,32,120952,60476,51811.12807,97112,23840,0,0,0,0,112,72,0.045715079,0.027429048,0,328,51.77777778,113.1920688,12812.44444,0,0,0,1,0,0,0,0,0,58.25,27.6,109.3333333,112,0,0,0,0,0,0,5,138,3,328,65535,946,1,20,0,0,0,0,0,0,0,0,BENIGN
80,109543074,5,3,181,1644,181,0,36.2,80.94566079,1644,0,548,949.1638425,16.66011308,0.073030633,15600000,41400000,109000000,33,110000000,27400000,54700000,109000000,80,24553,12276.5,15429.77707,23187,1366,0,0,0,0,112,72,0.045644145,0.027386487,0,1644,202.7777778,543.7632246,295678.4444,0,0,0,1,0,0,0,0,0,228.125,36.2,548,112,0,0,0,0,0,0,5,181,3,1644,65535,946,1,20,0,0,0,0,0,0,0,0,BENIGN
80,109722768,6,4,188,490,188,0,31.33333333,76.75067861,490,0,122.5,245,6.17920977,0.091138787,12200000,36600000,110000000,35,110000000,21900000,49000000,110000000,108,31726,10575.33333,8156.714187,16494,1271,0,0,0,0,144,104,0.054683272,0.036455515,0,490,61.63636364,152.8576284,23365.45455,0,0,0,1,0,0,0,0,0,67.8,31.33333333,122.5,144,0,0,0,0,0,0,6,188,4,490,65535,946,1,20,0,0,0,0,0,0,0,0,BENIGN
80,109861018,9,5,441,4691,158,0,49,73.74957627,1585,0,938.2,856.5738147,46.71356677,0.127433736,8450847.538,30400000,110000000,53,110000000,13700000,38700000,110000000,59,221422,55355.5,66377.17707,152286,1612,0,0,0,0,192,112,0.081921688,0.045512049,0,1585,342.1333333,635.0063967,403233.1238,0,0,0,1,0,0,0,0,0,366.5714286,49,938.2,192,0,0,0,0,0,0,9,441,5,4691,65535,1013,3,20,0,0,0,0,0,0,0,0,BENIGN
389,493,11,4,172,326,79,0,15.63636364,31.4492376,163,0,81.5,94.10809388,1010141.988,30425.96349,35.21428571,26.82472617,75,1,493,49.3,42.124287,119,1,287,95.66666667,160.5033748,281,3,0,0,0,0,368,144,22312.37323,8113.590264,0,163,31.125,57.86060836,3347.85,0,0,0,1,0,0,0,0,0,33.2,15.63636364,81.5,368,0,0,0,0,0,0,11,172,4,326,29200,2081,4,32,0,0,0,0,0,0,0,0,BENIGN
389,420,11,4,172,326,79,0,15.63636364,31.4492376,163,0,81.5,94.10809388,1185714.286,35714.28571,30,24.35632914,71,1,420,42,36.37764882,123,1,242,80.66666667,98.16482737,191,3,0,0,0,0,368,144,26190.47619,9523.809524,0,163,31.125,57.86060836,3347.85,0,0,0,1,0,0,0,0,0,33.2,15.63636364,81.5,368,0,0,0,0,0,0,11,172,4,326,29200,2081,4,32,0,0,0,0,0,0,0,0,BENIGN
53566,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1000000,1000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2081,237,0,32,0,0,0,0,0,0,0,0,BENIGN
88,1170,9,6,3226,3232,1613,0,358.4444444,711.2661441,1616,0,538.6666667,834.4988117,5519658.12,12820.51282,83.57142857,221.9936639,848,1,1170,146.25,342.7467828,984,1,1047,209.4,361.2489446,848,4,0,0,0,0,304,208,7692.307692,5128.205128,0,1616,403.625,722.0267654,521322.65,0,0,0,1,0,0,0,0,0,430.5333333,358.4444444,538.6666667,304,0,0,0,0,0,0,9,3226,6,3232,29200,2081,2,32,0,0,0,0,0,0,0,0,BENIGN
51130,10,1,1,0,0,0,0,0,0,0,0,0,0,0,200000,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,100000,100000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,2081,254,0,32,0,0,0,0,0,0,0,0,BENIGN
88,1155,9,6,3226,3232,1613,0,358.4444444,711.2661441,1616,0,538.6666667,834.4988117,5591341.991,12987.01299,82.5,207.7101346,801,1,1155,144.375,302.1806165,890,1,1006,201.2,340.3104465,801,4,0,0,0,0,304,208,7792.207792,5194.805195,0,1616,403.625,722.0267654,521322.65,0,0,0,1,0,0,0,0,0,430.5333333,358.4444444,538.6666667,304,0,0,0,0,0,0,9,3226,6,3232,29200,2081,2,32,0,0,0,0,0,0,0,0,BENIGN
